10200675,,"=LEFT(e2, 1)",01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",'Current Internal','-',Instructor
dsherman,,,01BRAND_INST___CC12501,Comparative Literature and Culture Program,Current Internal,Associate Professor of English,Associate Professor
dsherman,,,01BRAND_INST___CC26100,"Health: Science, Society, and Policy Program",Current Internal,Associate Professor of English,Associate Professor
dsteele,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,Adjunct Lecturer
dsull,,,01BRAND_INST___CC25000,Education Program,Current Internal,,
dtroyanov,,,01BRAND_INST___CC11400,Department of Theater Arts,Current Internal,Barbara Sherman '54 and Malcolm L. Sherman Associate Professor of Theater Arts,Associate Professor
dtybor01,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,, Adjunct Assistant Professor
dunigan,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,
dwallace,,,01BRAND_INST___CC18100,Department of African and African American Studies,Current Internal,,Assistant Professor
dwallace,,,01BRAND_INST___CC18800,Department of Sociology,Current Internal,Assistant Professor of Education and Sociology,Assistant Professor
dwallace,,,01BRAND_INST___CC25000,Education Program,Current Internal,Assistant Professor of Education and Sociology,Assistant Professor
dwhalen,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,Adjunct Lecturer
dzinner,,,01BRAND_INST___CC26100,"Health: Science, Society, and Policy Program",Current Internal,"Associate Professor; Associate Dean for Academic Personnel; Director, Heller Undergraduate Program",Associate Professor
dzinner,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,Associate Chair,
eacmills,,,01BRAND_INST___CC16800,Martin A. Fisher School of Physics,Current Internal,,
eafrey,,,01BRAND_INST___CC11200,Department of Music,Current Internal,,Assistant Professor
ebayone,,,01BRAND_INST___CC43100,International Business School,Current Internal,,
ebellin,,,01BRAND_INST___CC18600,Department of Politics,Current Internal,,
ebkogan,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,
ebrad,,,01BRAND_INST___CC12400,Department of English,Current Internal,,
ebrainer,,,01BRAND_INST___CC18400,Department of Economics,Current Internal,,
ebrainer,,,01BRAND_INST___CC24700,"Department of Women's, Gender and Sexuality Studies",Current Internal,,
ebrainer,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,
ebrainer,,,01BRAND_INST___CC43100,International Business School,Current Internal,,
edkaplan,,,01BRAND_INST___CC12500,Department of Romance Studies,Current Internal,Kevy and Hortense Kaiserman Professor in the Humanities,Professor Emeritus/a
edwarddumas,,,01BRAND_INST___CC43100,International Business School,Current Internal,,
ehackett,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,Vice Provost for Research and Professor of Sociology,Professor
ehemdal,,,01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional                 Studies",Current Internal,,Instructor
ehiller,,,01BRAND_INST___CC27700,Graduate Program in Genetic Counseling,Current Internal,,
eigsti,,,01BRAND_INST___CC11400,Department of Theater Arts,Current Internal,,
eileenma,,,01BRAND_INST___CC18200,American Studies Program,Current Internal,,
eileenma,,,01BRAND_INST___CC26700,Journalism Program,Current Internal,,
eissenbe,,,01BRAND_INST___CC11200,Department of Music,Current Internal,,
eizmang,,,01BRAND_INST___CC18400,Department of Economics,Current Internal,,
eizmang,,,01BRAND_INST___CC43100,International Business School,Current Internal,,
ejwright,,,01BRAND_INST___CC18700,Department of Psychology,Current Internal,,Associate Professor
ekjacobs,,,01BRAND_INST___CC12450,University Writing Program,Current Internal,,Lecturer
elee2395,,,01BRAND_INST___CC12600,"Department of German, Russian, and Asian Languages and Literature",Current Internal,,
elenag,,,01BRAND_INST___CC12500,Department of Romance Studies,Current Internal,,Lecturer
eltobgui,,,01BRAND_INST___CC13200,Department of Near Eastern and Judaic Studies,Current Internal,,
embazzell,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,
embazzell,,,01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional                 Studies",Current Internal,,
emilieconnolly,,,01BRAND_INST___CC18500,Department of History,Current Internal,,
engerman,,,01BRAND_INST___CC18320,South Asian Studies Program,Current Internal,,
engerman,,,01BRAND_INST___CC18500,Department of History,Current Internal,,
eolson,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,
epstein,,,01BRAND_INST___CC16500,Department of Chemistry,Current Internal,University Professor and Henry F. Fischbach Professor of Chemistry,
epstein,,,01BRAND_INST___CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current Internal,,
epstein,,,01BRAND_INST___CC27200,Neuroscience Program,Current Internal,,
eringee,,,01BRAND_INST___CC11200,Department of Music,Current Internal,Associate Professor of Music,Associate Professor
ernestgreen,,,01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional                 Studies",Current Internal,,
eschatt,,,01BRAND_INST___CC12102,Master of Arts Program in Comparative Humanities,Current Internal,,
eschatt,,,01BRAND_INST___CC18300,Department of Anthropology,Current Internal,,Associate Professor
eschatt,,,01BRAND_INST___CC24700,"Department of Women's, Gender and Sexuality Studies",Current Internal,,
eschatt,,,01BRAND_INST___CC25600,East Asian Studies Program,Current Internal,,
eschatt,,,01BRAND_INST___CC26300,International and Global Studies Program,Current Internal,,
eschatt,,,01BRAND_INST___CC27400,Religious Studies Program,Current Internal,,
esession,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,
esisli,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,Adjunct Professor
esmith2,,,01BRAND_INST___CC13100,Hornstein Jewish Professional Leadership Program,Current Internal,Director,Associate Professor
esmith2,,,01BRAND_INST___CC13200,Department of Near Eastern and Judaic Studies,Current Internal,Associate Professor of the Practice,Associate Professor
espinosa,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,
euretsky,,,01BRAND_INST___CC25600,East Asian Studies Program,Current Internal,Associate Professor in the International and Global Studies Program,Associate Professor
euretsky,,,01BRAND_INST___CC26300,International and Global Studies Program,Current Internal,Associate Professor in the International and Global Studies Program,Associate Professor
evaheinrich,,,01BRAND_INST___CC12600,"Department of German, Russian, and Asian Languages and Literature",Current Internal,,Lecturer
faconi,,,01BRAND_INST___CC11100,Department of Fine Arts,Current Internal,,
fair,,,01BRAND_INST___CC11100,Department of Fine Arts,Current Internal,,
farrelly,,,01BRAND_INST___CC18200,American Studies Program,Current Internal,,
farrelly,,,01BRAND_INST___CC26700,Journalism Program,Current Internal,,
fbattist,,,01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional                 Studies",Current Internal,,
fcampbell,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,
fchertok,,,01BRAND_INST___CC13100,Hornstein Jewish Professional Leadership Program,Current Internal,,
fell,,,01BRAND_INST___CC16800,Martin A. Fisher School of Physics,Current Internal,,
fellman,,,01BRAND_INST___CC18800,Department of Sociology,Current Internal,,
fellman,,,01BRAND_INST___CC24700,"Department of Women's, Gender and Sexuality Studies",Current Internal,,
ferosen,,,01BRAND_INST___CC12102,Master of Arts Program in Comparative Humanities,Current Internal,,
ferosen,,,01BRAND_INST___CC12500,Department of Romance Studies,Current Internal,,
ferosen,,,01BRAND_INST___CC12501,Comparative Literature and Culture Program,Current Internal,,
ferosen,,,01BRAND_INST___CC25900,"Film, Television and Interactive Media Program",Current Internal,,
ferosen,,,01BRAND_INST___CC26300,International and Global Studies Program,Current Internal,,
ferosen,,,01BRAND_INST___CC26800,Latin American and Latino Studies Program,Current Internal,,
ferry,,,01BRAND_INST___CC18300,Department of Anthropology,Current Internal,,
fischer,,,01BRAND_INST___CC18500,Department of History,Current Internal,,
fishbayn,,,01BRAND_INST___01BRAND_INST,Brandeis University,Current Internal, Shulamit Reinharz Director of the Hadassah-Brandeis Institute,Director
fishbayn,,,01BRAND_INST___01BRAND_INST,Brandeis University,Current Internal,"Co-founder, Boston Agunah Task Force",
fishbayn,,,01BRAND_INST___BUP,Brandeis University Press,Current Internal,"Editor, Series on Gender, Culture, Religion and the Law",
fishbayn,,,01BRAND_INST___CC13200,Department of Near Eastern and Judaic Studies,Current Internal,Lecturer in Near Eastern and Judaic Studies,Lecturer
fishman,,,01BRAND_INST___CC13200,Department of Near Eastern and Judaic Studies,Current Internal,,
flesch,,,01BRAND_INST___CC12102,Master of Arts Program in Comparative Humanities,Current Internal,,
flesch,,,01BRAND_INST___CC12300,Department of Philosophy,Current Internal,,
flesch,,,01BRAND_INST___CC12400,Department of English,Current Internal,,
flesch,,,01BRAND_INST___CC12501,Comparative Literature and Culture Program,Current Internal,,
flesch,,,01BRAND_INST___CC27100,Medieval and Renaissance Studies Program,Current Internal,,
fournier,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,Senior Lecturer,Senior Lecturer
fox,,,01BRAND_INST___CC12500,Department of Romance Studies,Current Internal,,Professor Emeritus/a
fox,,,01BRAND_INST___CC24700,"Department of Women's, Gender and Sexuality Studies",Current Internal,,Professor Emeritus/a
foxman1,,,01BRAND_INST___CC16500,Department of Chemistry,Current Internal,,Professor Emeritus/a
fraden,,,01BRAND_INST___CC16800,Martin A. Fisher School of Physics,Current Internal,,Professor
fraleigh,,,01BRAND_INST___CC12102,Master of Arts Program in Comparative Humanities,Current Internal,,
fraleigh,,,01BRAND_INST___CC12501,Comparative Literature and Culture Program,Current Internal,,
fraleigh,,,01BRAND_INST___CC12600,"Department of German, Russian, and Asian Languages and Literature",Current Internal,Associate Professor of East Asian Literature and Culture,Associate Professor
fraleigh,,,01BRAND_INST___CC25600,East Asian Studies Program,Current Internal,,
fraleigh,,,01BRAND_INST___CC25900,"Film, Television and Interactive Media Program",Current Internal,,
freeze,,,01BRAND_INST___CC12600,"Department of German, Russian, and Asian Languages and Literature",Current Internal,,
freeze,,,01BRAND_INST___CC18500,Department of History,Current Internal, Victor and Gwendolyn Beinfield Professor of History,Professor
freeze,,,01BRAND_INST___CC26300,International and Global Studies Program,Current Internal,,
fsmith,,,01BRAND_INST___CC12400,Department of English,Current Internal,,Associate Professor
fsmith,,,01BRAND_INST___CC18100,Department of African and African American Studies,Current Internal,,Associate Professor
fsmith,,,01BRAND_INST___CC24700,"Department of Women's, Gender and Sexuality Studies",Current Internal,,Associate Professor
fsmith,,,01BRAND_INST___CC26800,Latin American and Latino Studies Program,Current Internal,,Associate Professor
fulton,,,01BRAND_INST___CC16200,Department of Biology,Current Internal,,Professor Emeritus/a
gannit,,,01BRAND_INST___CC11100,Department of Fine Arts,Current Internal,"Professor of Fine Arts and Chair in Israeli Art, Department of Fine Arts and Schusterman Center for Israel Studies",
garnick,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,Professor
gaskins,,,01BRAND_INST___CC12300,Department of Philosophy,Current Internal,,
gaskins,,,01BRAND_INST___CC18100,Department of African and African American Studies,Current Internal,,
gaskins,,,01BRAND_INST___CC18200,American Studies Program,Current Internal,,
gaskins,,,01BRAND_INST___CC18600,Department of Politics,Current Internal,,Director
gaskins,,,01BRAND_INST___CC26300,International and Global Studies Program,Current Internal,,
gaumer,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,Adjunct Lecturer
gcbell,,,01BRAND_INST___CC11100,Department of Fine Arts,Current Internal,,
gchilds,,,01BRAND_INST___CC18100,Department of African and African American Studies,Current Internal,,
gchilds,,,01BRAND_INST___CC18500,Department of History,Current Internal,,
gduclos,,,01BRAND_INST___CC16800,Martin A. Fisher School of Physics,Current Internal,,
gehrenk,,,01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional                 Studies",Current Internal,,
gelles,,,01BRAND_INST___CC16100,Department of Biochemistry,Current Internal,,Professor
gene,,,01BRAND_INST___CC43100,International Business School,Current Internal,,
geoffclarke,,,01BRAND_INST___CC18400,Department of Economics,Current Internal,,
geoffclarke,,,01BRAND_INST___CC43100,International Business School,Current Internal,,
gessel,,,01BRAND_INST___CC16700,Department of Mathematics,Current Internal,,Professor Emeritus/a
geverett,,,01BRAND_INST___CC12400,Department of English,Current Internal,,
ggillin,,,01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional                 Studies",Current Internal,"Instructor in the Rabb School of Continuing Studies, Division of Graduate Professional Studies",Instructor
ghall,,,01BRAND_INST___CC18400,Department of Economics,Current Internal,Fred C. Hecht Professor of Economics,Professor
ghall,,,01BRAND_INST___CC43100,International Business School,Current Internal,,
giele1,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,Professor Emeritus/a
gieseking,,,01BRAND_INST___CC16500,Department of Chemistry,Current Internal,,Assistant Professor
gil,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,Professor Emeritus/a
gillespi,,,01BRAND_INST___CC18800,Department of Sociology,Current Internal,,Lecturer
gisholt,,,01BRAND_INST___CC11100,Department of Fine Arts,Current Internal,,Associate Professor
glasnovich,,,01BRAND_INST___CC18500,Department of History,Current Internal,,Lecturer
gnenciu,,,01BRAND_INST___CC12500,Department of Romance Studies,Current Internal,,Lecturer
goldin,,,01BRAND_INST___CC25700,Environmental Studies Program,Current Internal,Professor Emerita of Environmental Studies,Professor Emeritus/a
goode,,,01BRAND_INST___CC16200,Department of Biology,Current Internal,Professor of Biology,Professor
goode,,,01BRAND_INST___CC27200,Neuroscience Program,Current Internal,,
goode,,,01BRAND_INST___CC28100,Rosenstiel Basic Medical Sciences Research Center,Current Internal,,
goodhear,,,01BRAND_INST___CC12400,Department of English,Current Internal,,Professor Emeritus/a
gordon,,,01BRAND_INST___CC11200,Department of Music,Current Internal,,Professor
gowri,,,01BRAND_INST___CC18320,South Asian Studies Program,Current Internal,,Assistant Professor
gowri,,,01BRAND_INST___CC18800,Department of Sociology,Current Internal,,Assistant Professor
gperetti,,,01BRAND_INST___CC16700,Department of Mathematics,Current Internal,,
gracehan,,,01BRAND_INST___CC16500,Department of Chemistry,Current Internal,,Assistant Professor
gracet01,,,01BRAND_INST___CC12400,Department of English,Current Internal,,Writer-in-Residence
green,,,01BRAND_INST___CC13200,Department of Near Eastern and Judaic Studies,Current Internal,,Professor Emeritus/a
greenlee,,,01BRAND_INST___CC18600,Department of Politics,Current Internal,,Associate Professor
greenlee,,,01BRAND_INST___CC24700,"Department of Women's, Gender and Sexuality Studies",Current Internal,,Associate Professor
gretchen,,,01BRAND_INST___CC27700,Graduate Program in Genetic Counseling,Current Internal,,
grgrobinson,,,01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional                 Studies",Current Internal,,
griffith,,,01BRAND_INST___CC16200,Department of Biology,Current Internal,,
griffith,,,01BRAND_INST___CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current Internal,Director of the Volen National Center for Complex Systems,Director
griffith,,,01BRAND_INST___CC27200,Neuroscience Program,Current Internal,Nancy Lurie Marks Professor of Neuroscience,Professor
gross,,,01BRAND_INST___CC18800,Department of Sociology,Current Internal,,Professor Emeritus/a
gsamore,,,01BRAND_INST___CC18600,Department of Politics,Current Internal,,Professor of the Practice
gtr,,,01BRAND_INST___CC16700,Department of Mathematics,Current Internal,,Lecturer
guillermina,,,01BRAND_INST___CC16200,Department of Biology,Current Internal,,
gulley,,,01BRAND_INST___CC26100,"Health: Science, Society, and Policy Program",Current Internal,,Lecturer
gutchess,,,01BRAND_INST___CC18700,Department of Psychology,Current Internal,,Professor
gutchess,,,01BRAND_INST___CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current Internal,,
gutchess,,,01BRAND_INST___CC27200,Neuroscience Program,Current Internal,,
guvenc,,,01BRAND_INST___CC11100,Department of Fine Arts,Current Internal,,Assistant Professor
gwwri,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,
gzimmerm,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,Professor
gzimmerm,,,01BRAND_INST___CC43100,International Business School,Current Internal,,Professor
haber,,,01BRAND_INST___CC16200,Department of Biology,Current Internal,Abraham and Etta Goodman Professor of Biology,Professor
haber,,,01BRAND_INST___CC28100,Rosenstiel Basic Medical Sciences Research Center,Current Internal,Director of the Rosenstiel Basic Medical Sciences Research Center,Director
hagan,,,01BRAND_INST___CC16800,Martin A. Fisher School of Physics,Current Internal,,Professor
hagit,,,01BRAND_INST___CC43100,International Business School,Current Internal,,Associate Professor
hall,,,01BRAND_INST___CC16200,Department of Biology,Current Internal,,Professor Emeritus/a
hampton,,,01BRAND_INST___CC11200,Department of Music,Current Internal,,Associate Professor
hannig,,,01BRAND_INST___CC18300,Department of Anthropology,Current Internal,,
hannig,,,01BRAND_INST___CC24700,"Department of Women's, Gender and Sexuality Studies",Current Internal,,
hannig,,,01BRAND_INST___CC26100,"Health: Science, Society, and Policy Program",Current Internal,,
haohxu,,,01BRAND_INST___CC16500,Department of Chemistry,Current Internal,,Adjunct Professor
harder,,,01BRAND_INST___CC12500,Department of Romance Studies,Current Internal,,Professor
harleen,,,01BRAND_INST___CC12102,Master of Arts Program in Comparative Humanities,Current Internal,,Associate Professor
harleen,,,01BRAND_INST___CC12501,Comparative Literature and Culture Program,Current Internal,,Associate Professor
harleen,,,01BRAND_INST___CC12600,"Department of German, Russian, and Asian Languages and Literature",Current Internal,,Associate Professor
harleen,,,01BRAND_INST___CC18320,South Asian Studies Program,Current Internal,,Associate Professor
harleen,,,01BRAND_INST___CC24700,"Department of Women's, Gender and Sexuality Studies",Current Internal,,Associate Professor
harleen,,,01BRAND_INST___CC26300,International and Global Studies Program,Current Internal,,Associate Professor
harth,,,01BRAND_INST___CC12500,Department of Romance Studies,Current Internal,,Professor Emeritus/a
hascal,,,01BRAND_INST___CC13200,Department of Near Eastern and Judaic Studies,Current Internal,,Associate Professor of the Practice
hashemi,,,01BRAND_INST___CC16800,Martin A. Fisher School of Physics,Current Internal,,
hayim,,,01BRAND_INST___CC18800,Department of Sociology,Current Internal,,Professor Emeritus/a
headrick,,,01BRAND_INST___CC16800,Martin A. Fisher School of Physics,Current Internal,,Professor
hedstrom,,,01BRAND_INST___CC16200,Department of Biology,Current Internal,Professor of Biology and Chemistry,Professor
hedstrom,,,01BRAND_INST___CC16500,Department of Chemistry,Current Internal,Professor of Biology and Chemistry,Professor
henchman,,,01BRAND_INST___CC16500,Department of Chemistry,Current Internal,,Professor Emeritus/a
hershens,,,01BRAND_INST___CC18700,Department of Psychology,Current Internal,,Professor Emeritus/a
herzfeld,,,01BRAND_INST___CC16500,Department of Chemistry,Current Internal,,Professor
hetalvig,,,01BRAND_INST___CC27700,Graduate Program in Genetic Counseling,Current Internal,,Associate Professor of the Practice
hfujiwar,,,01BRAND_INST___CC12600,"Department of German, Russian, and Asian Languages and Literature",Current Internal,,Assistant Professor
hhung,,,01BRAND_INST___CC26900,Linguistics and Computational Linguistics,Current Internal,,Lecturer
hindley,,,01BRAND_INST___CC18600,Department of Politics,Current Internal,,Professor Emeritus/a
hirsch,,,01BRAND_INST___CC12300,Department of Philosophy,Current Internal,,Professor
hitchcock,,,01BRAND_INST___CC16200,Department of Biology,Current Internal,,Associate Professor
hitchcock,,,01BRAND_INST___CC25700,Environmental Studies Program,Current Internal,,
hjafri,,,01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional                 Studies",Current Internal,,Instructor
hodgkin,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,Professor
holloche,,,01BRAND_INST___CC16100,Department of Biochemistry,Current Internal,,Professor Emeritus/a
holmberg,,,01BRAND_INST___CC11400,Department of Theater Arts,Current Internal,,Professor
hongfuliu,,,01BRAND_INST___CC16600,Michtom School of Computer Science,Current Internal,,
hongfuliu,,,01BRAND_INST___CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current Internal,,
hongpeng,,,01BRAND_INST___CC16600,Michtom School of Computer Science,Current Internal,Professor of Computer Science,Professor
hongpeng,,,01BRAND_INST___CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current Internal,,
horgan,,,01BRAND_INST___01BRAND_INST,Brandeis University,Current Internal,,
horgan,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,Professor
hrlee,,,01BRAND_INST___CC12400,Department of English,Current Internal,,
hrsnyder,,,01BRAND_INST___CC18700,Department of Psychology,Current Internal,,Assistant Professor
hrsnyder,,,01BRAND_INST___CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current Internal,,Assistant Professor
hrsnyder,,,01BRAND_INST___CC27200,Neuroscience Program,Current Internal,,Assistant Professor
hulliung,,,01BRAND_INST___CC12500,Department of Romance Studies,Current Internal,,
hulliung,,,01BRAND_INST___CC18500,Department of History,Current Internal,,Professor
hulliung,,,01BRAND_INST___CC18600,Department of Politics,Current Internal,,
hunt,,,01BRAND_INST___CC18300,Department of Anthropology,Current Internal,,Professor Emeritus/a
hyungse87,,,01BRAND_INST___CC43100,International Business School,Current Internal,,Adjunct Professor
ianroy,,,01BRAND_INST___CC43100,International Business School,Current Internal,,Adjunct Professor
ichan,,,01BRAND_INST___CC16500,Department of Chemistry,Current Internal,,
idubinin,,,01BRAND_INST___CC12600,"Department of German, Russian, and Asian Languages and Literature",Current Internal,,
igusa,,,01BRAND_INST___CC16700,Department of Mathematics,Current Internal,,Professor
ijean,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,
ijean,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,Adjunct Lecturer
imrankhan,,,01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional                 Studies",Current Internal,,
irr,,,01BRAND_INST___CC12102,Master of Arts Program in Comparative Humanities,Current Internal,,
irr,,,01BRAND_INST___CC12400,Department of English,Current Internal,Professor of English,Professor
irr,,,01BRAND_INST___CC25700,Environmental Studies Program,Current Internal,,
irr,,,01BRAND_INST___CC25900,"Film, Television and Interactive Media Program",Current Internal,,
irr,,,01BRAND_INST___CC26200,History of Ideas Program,Current Internal,,
ivanovic,,,01BRAND_INST___CC16100,Department of Biochemistry,Current Internal,Assistant Professor of Biochemistry,Assistant Professor
ivanovic,,,01BRAND_INST___CC28100,Rosenstiel Basic Medical Sciences Research Center,Current Internal,,
jackendo,,,01BRAND_INST___CC18700,Department of Psychology,Current Internal,,
jacleary,,,01BRAND_INST___CC11400,Department of Theater Arts,Current Internal,,
jacobson,,,01BRAND_INST___CC18300,Department of Anthropology,Current Internal,,Professor Emeritus/a
jacques,,,01BRAND_INST___CC16600,Michtom School of Computer Science,Current Internal,,
jameshoward,,,01BRAND_INST___CC18700,Department of Psychology,Current Internal,,Assistant Professor
jamesp,,,01BRAND_INST___CC16600,Michtom School of Computer Science,Current Internal,,
jamesp,,,01BRAND_INST___CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current Internal,,
jamesp,,,01BRAND_INST___CC26900,Linguistics and Computational Linguistics,Current Internal,,
janetmc,,,01BRAND_INST___CC18100,Department of African and African American Studies,Current Internal,,
janetmc,,,01BRAND_INST___CC18300,Department of Anthropology,Current Internal,,
janetmc,,,01BRAND_INST___CC18700,Department of Psychology,Current Internal,,
janjaria,,,01BRAND_INST___CC18300,Department of Anthropology,Current Internal,,
janjaria,,,01BRAND_INST___CC18320,South Asian Studies Program,Current Internal,,
jannagreenberg,,,01BRAND_INST___CC43100,International Business School,Current Internal,,Adjunct Professor
jarellan,,,01BRAND_INST___CC12102,Master of Arts Program in Comparative Humanities,Current Internal,,
jarellan,,,01BRAND_INST___CC12400,Department of English,Current Internal,,
jarellan,,,01BRAND_INST___CC12500,Department of Romance Studies,Current Internal,,
jarellan,,,01BRAND_INST___CC12501,Comparative Literature and Culture Program,Current Internal,,
jarellan,,,01BRAND_INST___CC26800,Latin American and Latino Studies Program,Current Internal,,
jaronson,,,01BRAND_INST___CC13100,Hornstein Jewish Professional Leadership Program,Current Internal,,
jbellaic,,,01BRAND_INST___CC16700,Department of Mathematics,Current Internal,,
jcdavis,,,01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional                 Studies",Current Internal,,
jcohen,,,01BRAND_INST___CC18200,American Studies Program,Current Internal,,
jdassin,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,
jdcas,,,01BRAND_INST___CC11200,Department of Music,Current Internal,,
jdegrado,,,01BRAND_INST___CC13200,Department of Near Eastern and Judaic Studies,Current Internal,,
jdmwilliams,,,01BRAND_INST___CC12400,Department of English,Current Internal,,Visiting Professor
jdubinsky,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,
jebert,,,01BRAND_INST___CC18700,Department of Psychology,Current Internal,,
jebert,,,01BRAND_INST___CC43100,International Business School,Current Internal,,
jefferso,,,01BRAND_INST___CC18400,Department of Economics,Current Internal,,Professor
jefferso,,,01BRAND_INST___CC25600,East Asian Studies Program,Current Internal,,Professor
jefferso,,,01BRAND_INST___CC26300,International and Global Studies Program,Current Internal,,Professor
jefferso,,,01BRAND_INST___CC43100,International Business School,Current Internal,,Professor
jgittell,,,01BRAND_INST___01BRAND_INST,Brandeis University,Current Internal,Principal Investigator of Relational Society Project,
jgittell,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,Board Member of the Relational Coordination Research Collaborative,
jgittell,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,Professor,Professor
jgutsell,,,01BRAND_INST___CC18700,Department of Psychology,Current Internal,,Associate Professor
jgutsell,,,01BRAND_INST___CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current Internal,,
jgutsell,,,01BRAND_INST___CC27200,Neuroscience Program,Current Internal,,
jhale,,,01BRAND_INST___CC12500,Department of Romance Studies,Current Internal,,Professor Emeritus/a
jianwei,,,01BRAND_INST___CC12600,"Department of German, Russian, and Asian Languages and Literature",Current Internal,Lecturer in Chinese,Lecturer
jikbal,,,01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional                 Studies",Current Internal,,Instructor
jjackson,,,01BRAND_INST___CC27700,Graduate Program in Genetic Counseling,Current Internal,,Lecturer
jjahn,,,01BRAND_INST___CC11400,Department of Theater Arts,Current Internal,,Lecturer
jjaquette,,,01BRAND_INST___CC16700,Department of Mathematics,Current Internal,,
jkrasner,,,01BRAND_INST___CC13200,Department of Near Eastern and Judaic Studies,Current Internal,,
jkrasner,,,01BRAND_INST___CC18200,American Studies Program,Current Internal,,
jlacreta,,,01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional                 Studies",Current Internal,,
jlederman,,,01BRAND_INST___CC12450,University Writing Program,Current Internal,,
jleu,,,01BRAND_INST___CC43100,International Business School,Current Internal,,
jmarusic,,,01BRAND_INST___CC12300,Department of Philosophy,Current Internal,,
jmarusic,,,01BRAND_INST___CC26200,History of Ideas Program,Current Internal,,
jmcginn,,,01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional                 Studies",Current Internal,,
jmmhug,,,01BRAND_INST___CC13200,Department of Near Eastern and Judaic Studies,Current Internal,,
jmorris,,,01BRAND_INST___CC16200,Department of Biology,Current Internal,,
jmorris,,,01BRAND_INST___CC25000,Education Program,Current Internal,,
jmorris,,,01BRAND_INST___CC25700,Environmental Studies Program,Current Internal,,
jmorris,,,01BRAND_INST___CC26100,"Health: Science, Society, and Policy Program",Current Internal,,
jmw,,,01BRAND_INST___CC18700,Department of Psychology,Current Internal,,Assistant Professor
jnicholson,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,
jockusch,,,01BRAND_INST___CC13200,Department of Near Eastern and Judaic Studies,Current Internal,Albert Abramson Associate Professor of Holocaust Studies,Associate Professor
