Primary_Identifier,Affiliation_Unit_Code,Affiliation_Unit_Name,Affiliation_Unit_Type,Affiliation_Position,Affiliation_Position_Title,,
evaheinrich,CC12600,"Department of German, Russian, and Asian Languages and Literature",Current_Internal,Lecturer,,,
faconi,CC11100,Department of Fine Arts,Current_Internal,,,,
fair,CC11100,Department of Fine Arts,Current_Internal,,,,
farrelly,CC18200,American Studies Program,Current_Internal,,,,
farrelly,CC26700,Journalism Program,Current_Internal,,,,
fbattist,CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",Current_Internal,,,,
fcampbell,CC40100,Heller School for Social Policy and Management,Current_Internal,,,,
fchertok,CC13100,Hornstein Jewish Professional Leadership Program,Current_Internal,,,,
fell,CC16800,Martin A. Fisher School of Physics,Current_Internal,,,,
fellman,CC18800,Department of Sociology,Current_Internal,,,,
fellman,CC24700,"Department of Womens, Gender and Sexuality Studies",Current_Internal,,,,
ferosen,CC12501,Comparative Literature and Culture Program,Current_Internal,,,,
ferosen,CC12500,Department of Romance Studies,Current_Internal,,,,
ferosen,CC25900,"Film, Television and Interactive Media Program",Current_Internal,,,,
ferosen,CC26300,International and Global Studies Program,Current_Internal,,,,
ferosen,CC26800,Latin American and Latino Studies Program,Current_Internal,,,,
ferosen,CC12102,Master of Arts Program in Comparative Humanities,Current_Internal,,,,
ferry,CC18300,Department of Anthropology,Current_Internal,,,,
fischer,CC18500,Department of History,Current_Internal,,,,
fishbayn,ND_INST,Brandeis University,Current_Internal,Director,Shulamit Reinharz Director of the Hadassah-Brandeis Institute,,
fishbayn,ND_INST,Brandeis University,Current_Internal,,"Co-founder, Boston Agunah Task Force",,
fishbayn,T___BUP,Brandeis University Press,Current_Internal,,"Editor, Series on Gender, Culture, Religion and the Law",,
fishbayn,CC13200,Department of Near Eastern and Judaic Studies,Current_Internal,Lecturer,Lecturer in Near Eastern and Judaic Studies,,
fishman,CC13200,Department of Near Eastern and Judaic Studies,Current_Internal,,,,
flesch,CC12501,Comparative Literature and Culture Program,Current_Internal,,,,
flesch,CC12400,Department of English,Current_Internal,,,,
flesch,CC12300,Department of Philosophy,Current_Internal,,,,
flesch,CC12102,Master of Arts Program in Comparative Humanities,Current_Internal,,,,
flesch,CC27100,Medieval and Renaissance Studies Program,Current_Internal,,,,
fournier,CC40100,Heller School for Social Policy and Management,Current_Internal,Senior Lecturer,Senior Lecturer,,
fox,CC12500,Department of Romance Studies,Current_Internal,Professor Emeritus/a,,,
fox,CC24700,"Department of Womens, Gender and Sexuality Studies",Current_Internal,Professor Emeritus/a,,,
foxman1,CC16500,Department of Chemistry,Current_Internal,Professor Emeritus/a,,,
fraden,CC16800,Martin A. Fisher School of Physics,Current_Internal,Professor,,,
fraleigh,CC12501,Comparative Literature and Culture Program,Current_Internal,,,,
fraleigh,CC12600,"Department of German, Russian, and Asian Languages and Literature",Current_Internal,Associate Professor,Associate Professor of East Asian Literature and Culture,,
fraleigh,CC25600,East Asian Studies Program,Current_Internal,,,,
fraleigh,CC25900,"Film, Television and Interactive Media Program",Current_Internal,,,,
fraleigh,CC12102,Master of Arts Program in Comparative Humanities,Current_Internal,,,,
freeze,CC12600,"Department of German, Russian, and Asian Languages and Literature",Current_Internal,,,,
freeze,CC18500,Department of History,Current_Internal,Professor,Victor and Gwendolyn Beinfield Professor of History,,
freeze,CC26300,International and Global Studies Program,Current_Internal,,,,
fsmith,CC18100,Department of African and African American Studies,Current_Internal,Associate Professor,,,
fsmith,CC12400,Department of English,Current_Internal,Associate Professor,,,
fsmith,CC24700,"Department of Womens, Gender and Sexuality Studies",Current_Internal,Associate Professor,,,
fsmith,CC26800,Latin American and Latino Studies Program,Current_Internal,Associate Professor,,,
fulton,CC16200,Department of Biology,Current_Internal,Professor Emeritus/a,,,
gannit,CC11100,Department of Fine Arts,Current_Internal,,"Professor of Fine Arts and Chair in Israeli Art, Department of Fine Arts and Schusterman Center for Israel Studies",,
garnick,CC40100,Heller School for Social Policy and Management,Current_Internal,Professor,,,
gaskins,CC18200,American Studies Program,Current_Internal,,,,
gaskins,CC18100,Department of African and African American Studies,Current_Internal,,,,
gaskins,CC12300,Department of Philosophy,Current_Internal,,,,
gaskins,CC18600,Department of Politics,Current_Internal,Director,,,
gaskins,CC26300,International and Global Studies Program,Current_Internal,,,,
gaumer,CC40100,Heller School for Social Policy and Management,Current_Internal,Adjunct Lecturer,,,
gcbell,CC11100,Department of Fine Arts,Current_Internal,,,,
gchilds,CC18100,Department of African and African American Studies,Current_Internal,,,,
gchilds,CC18500,Department of History,Current_Internal,,,,
gduclos,CC16800,Martin A. Fisher School of Physics,Current_Internal,,,,
gehrenk,CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",Current_Internal,,,,
gelles,CC16100,Department of Biochemistry,Current_Internal,Professor,,,
gene,CC43100,International Business School,Current_Internal,,,,
geoffclarke,CC18400,Department of Economics,Current_Internal,,,,
geoffclarke,CC43100,International Business School,Current_Internal,,,,
gessel,CC16700,Department of Mathematics,Current_Internal,Professor Emeritus/a,,,
geverett,CC12400,Department of English,Current_Internal,,,,
ggillin,CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",Current_Internal,Instructor,,,
ghall,CC18400,Department of Economics,Current_Internal,Professor,Fred C. Hecht Professor of Economics,,
ghall,CC43100,International Business School,Current_Internal,,,,
giele1,CC40100,Heller School for Social Policy and Management,Current_Internal,Professor Emeritus/a,,,
gieseking,CC16500,Department of Chemistry,Current_Internal,Assistant Professor,,,
gil,CC40100,Heller School for Social Policy and Management,Current_Internal,Professor Emeritus/a,,,
gillespi,CC18800,Department of Sociology,Current_Internal,Lecturer,,,
gisholt,CC11100,Department of Fine Arts,Current_Internal,Associate Professor,,,
glasnovich,CC18500,Department of History,Current_Internal,Lecturer,,,
gnenciu,CC12500,Department of Romance Studies,Current_Internal,Lecturer,,,
goldin,CC25700,Environmental Studies Program,Current_Internal,Professor Emeritus/a,Professor Emerita of Environmental Studies,,
goode,CC16200,Department of Biology,Current_Internal,Professor,Professor of Biology,,
goode,CC27200,Neuroscience Program,Current_Internal,,,,
goode,CC28100,Rosenstiel Basic Medical Sciences Research Center,Current_Internal,,,,
goodhear,CC12400,Department of English,Current_Internal,Professor Emeritus/a,,,
gordon,CC11200,Department of Music,Current_Internal,Professor,,,
gowri,CC18800,Department of Sociology,Current_Internal,Assistant Professor,,,
gowri,CC18320,South Asian Studies Program,Current_Internal,Assistant Professor,,,
gperetti,CC16700,Department of Mathematics,Current_Internal,,,,
gracehan,CC16500,Department of Chemistry,Current_Internal,Assistant Professor,,,
gracet01,CC12400,Department of English,Current_Internal,Writer-in-Residence,,,
green,CC13200,Department of Near Eastern and Judaic Studies,Current_Internal,Professor Emeritus/a,,,
greenlee,CC18600,Department of Politics,Current_Internal,Associate Professor,,,
greenlee,CC24700,"Department of Womens, Gender and Sexuality Studies",Current_Internal,Associate Professor,,,
gretchen,CC27700,Graduate Program in Genetic Counseling,Current_Internal,,,,
grgrobinson,CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",Current_Internal,,,,
griffith,CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current_Internal,Director,Director of the Volen National Center for Complex Systems,,
griffith,CC16200,Department of Biology,Current_Internal,,,,
griffith,CC27200,Neuroscience Program,Current_Internal,Professor,Nancy Lurie Marks Professor of Neuroscience,,
gross,CC18800,Department of Sociology,Current_Internal,Professor Emeritus/a,,,
gsamore,CC18600,Department of Politics,Current_Internal,Professor of the Practice,,,
gtr,CC16700,Department of Mathematics,Current_Internal,Lecturer,,,
guillermina,CC16200,Department of Biology,Current_Internal,,,,
gulley,CC26100,"Health: Science, Society, and Policy Program",Current_Internal,Lecturer,,,
gutchess,CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current_Internal,,,,
gutchess,CC18700,Department of Psychology,Current_Internal,Professor,,,
gutchess,CC27200,Neuroscience Program,Current_Internal,,,,
guvenc,CC11100,Department of Fine Arts,Current_Internal,Assistant Professor,,,
gwwri,CC40100,Heller School for Social Policy and Management,Current_Internal,,,,
gzimmerm,CC40100,Heller School for Social Policy and Management,Current_Internal,Professor,,,
gzimmerm,CC43100,International Business School,Current_Internal,Professor,,,
haber,CC16200,Department of Biology,Current_Internal,Professor,Abraham and Etta Goodman Professor of Biology,,
haber,CC28100,Rosenstiel Basic Medical Sciences Research Center,Current_Internal,Director,Director of the Rosenstiel Basic Medical Sciences Research Center,,
hagan,CC16800,Martin A. Fisher School of Physics,Current_Internal,Professor,,,
hagit,CC43100,International Business School,Current_Internal,Associate Professor,,,
hall,CC16200,Department of Biology,Current_Internal,Professor Emeritus/a,,,
hampton,CC11200,Department of Music,Current_Internal,Associate Professor,,,
hannig,CC18300,Department of Anthropology,Current_Internal,,,,
hannig,CC24700,"Department of Womens, Gender and Sexuality Studies",Current_Internal,,,,
hannig,CC26100,"Health: Science, Society, and Policy Program",Current_Internal,,,,
haohxu,CC16500,Department of Chemistry,Current_Internal,Adjunct Professor,,,
harder,CC12500,Department of Romance Studies,Current_Internal,Professor,,,
harleen,CC12501,Comparative Literature and Culture Program,Current_Internal,Associate Professor,,,
harleen,CC12600,"Department of German, Russian, and Asian Languages and Literature",Current_Internal,Associate Professor,,,
harleen,CC24700,"Department of Womens, Gender and Sexuality Studies",Current_Internal,Associate Professor,,,
harleen,CC26300,International and Global Studies Program,Current_Internal,Associate Professor,,,
harleen,CC12102,Master of Arts Program in Comparative Humanities,Current_Internal,Associate Professor,,,
harleen,CC18320,South Asian Studies Program,Current_Internal,Associate Professor,,,
harth,CC12500,Department of Romance Studies,Current_Internal,Professor Emeritus/a,,,
hascal,CC13200,Department of Near Eastern and Judaic Studies,Current_Internal,Associate Professor of the Practice,,,
hashemi,CC16800,Martin A. Fisher School of Physics,Current_Internal,,,,
hayim,CC18800,Department of Sociology,Current_Internal,Professor Emeritus/a,,,
headrick,CC16800,Martin A. Fisher School of Physics,Current_Internal,Professor,,,
hedstrom,CC16200,Department of Biology,Current_Internal,Professor,Professor of Biology and Chemistry,,
hedstrom,CC16500,Department of Chemistry,Current_Internal,Professor,Professor of Biology and Chemistry,,
henchman,CC16500,Department of Chemistry,Current_Internal,Professor Emeritus/a,,,
hershens,CC18700,Department of Psychology,Current_Internal,Professor Emeritus/a,,,
herzfeld,CC16500,Department of Chemistry,Current_Internal,Professor,,,
hetalvig,CC27700,Graduate Program in Genetic Counseling,Current_Internal,Associate Professor of the Practice,,,
hfujiwar,CC12600,"Department of German, Russian, and Asian Languages and Literature",Current_Internal,Assistant Professor,,,
hhung,CC26900,Linguistics and Computational Linguistics,Current_Internal,Lecturer,,,
hindley,CC18600,Department of Politics,Current_Internal,Professor Emeritus/a,,,
hirsch,CC12300,Department of Philosophy,Current_Internal,Professor,,,
hitchcock,CC16200,Department of Biology,Current_Internal,Associate Professor,,,
hitchcock,CC25700,Environmental Studies Program,Current_Internal,,,,
hjafri,CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",Current_Internal,Instructor,,,
hodgkin,CC40100,Heller School for Social Policy and Management,Current_Internal,Professor,,,
holloche,CC16100,Department of Biochemistry,Current_Internal,Professor Emeritus/a,,,
holmberg,CC11400,Department of Theater Arts,Current_Internal,Professor,,,
hongfuliu,CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current_Internal,,,,
hongfuliu,CC16600,Michtom School of Computer Science,Current_Internal,,,,
hongpeng,CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current_Internal,,,,
hongpeng,CC16600,Michtom School of Computer Science,Current_Internal,Professor,Professor of Computer Science,,
horgan,ND_INST,Brandeis University,Current_Internal,,,,
horgan,CC40100,Heller School for Social Policy and Management,Current_Internal,Professor,,,
hrlee,CC12400,Department of English,Current_Internal,,,,
hrsnyder,CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current_Internal,Assistant Professor,,,
hrsnyder,CC18700,Department of Psychology,Current_Internal,Assistant Professor,,,
hrsnyder,CC27200,Neuroscience Program,Current_Internal,Assistant Professor,,,
hulliung,CC18500,Department of History,Current_Internal,Professor,,,
hulliung,CC18600,Department of Politics,Current_Internal,,,,
hulliung,CC12500,Department of Romance Studies,Current_Internal,,,,
hunt,CC18300,Department of Anthropology,Current_Internal,Professor Emeritus/a,,,
hyungse87,CC43100,International Business School,Current_Internal,Adjunct Professor,,,
ianroy,CC43100,International Business School,Current_Internal,Adjunct Professor,,,
ichan,CC16500,Department of Chemistry,Current_Internal,,,,
idubinin,CC12600,"Department of German, Russian, and Asian Languages and Literature",Current_Internal,,,,
igusa,CC16700,Department of Mathematics,Current_Internal,Professor,,,
ijean,CC40100,Heller School for Social Policy and Management,Current_Internal,Adjunct Lecturer,,,
ijean,CC40100,Heller School for Social Policy and Management,Current_Internal,,,,
imrankhan,CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",Current_Internal,,,,
irr,CC12400,Department of English,Current_Internal,Professor,Professor of English,,
irr,CC25700,Environmental Studies Program,Current_Internal,,,,
irr,CC25900,"Film, Television and Interactive Media Program",Current_Internal,,,,
irr,CC26200,History of Ideas Program,Current_Internal,,,,
irr,CC12102,Master of Arts Program in Comparative Humanities,Current_Internal,,,,
ivanovic,CC16100,Department of Biochemistry,Current_Internal,Assistant Professor,Assistant Professor of Biochemistry,,
ivanovic,CC28100,Rosenstiel Basic Medical Sciences Research Center,Current_Internal,,,,
jackendo,CC18700,Department of Psychology,Current_Internal,,,,
jacleary,CC11400,Department of Theater Arts,Current_Internal,,,,
jacobson,CC18300,Department of Anthropology,Current_Internal,Professor Emeritus/a,,,
jacques,CC16600,Michtom School of Computer Science,Current_Internal,,,,
jameshoward,CC18700,Department of Psychology,Current_Internal,Assistant Professor,,,
jamesp,CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current_Internal,,,,
jamesp,CC26900,Linguistics and Computational Linguistics,Current_Internal,,,,
jamesp,CC16600,Michtom School of Computer Science,Current_Internal,,,,
janetmc,CC18100,Department of African and African American Studies,Current_Internal,,,,
janetmc,CC18300,Department of Anthropology,Current_Internal,,,,
janetmc,CC18700,Department of Psychology,Current_Internal,,,,
janjaria,CC18300,Department of Anthropology,Current_Internal,,,,
janjaria,CC18320,South Asian Studies Program,Current_Internal,,,,
jannagreenberg,CC43100,International Business School,Current_Internal,Adjunct Professor,,,
jarellan,CC12501,Comparative Literature and Culture Program,Current_Internal,,,,
jarellan,CC12400,Department of English,Current_Internal,,,,
jarellan,CC12500,Department of Romance Studies,Current_Internal,,,,
jarellan,CC26800,Latin American and Latino Studies Program,Current_Internal,,,,
jarellan,CC12102,Master of Arts Program in Comparative Humanities,Current_Internal,,,,
jaronson,CC13100,Hornstein Jewish Professional Leadership Program,Current_Internal,,,,
jbellaic,CC16700,Department of Mathematics,Current_Internal,,,,
jcdavis,CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",Current_Internal,,,,
jcohen,CC18200,American Studies Program,Current_Internal,,,,
jdassin,CC40100,Heller School for Social Policy and Management,Current_Internal,,,,
jdcas,CC11200,Department of Music,Current_Internal,,,,
jdegrado,CC13200,Department of Near Eastern and Judaic Studies,Current_Internal,,,,
jdmwilliams,CC12400,Department of English,Current_Internal,Visiting Professor,,,
jdubinsky,CC40100,Heller School for Social Policy and Management,Current_Internal,,,,
jebert,CC18700,Department of Psychology,Current_Internal,,,,
jebert,CC43100,International Business School,Current_Internal,,,,
jefferso,CC18400,Department of Economics,Current_Internal,Professor,,,
jefferso,CC25600,East Asian Studies Program,Current_Internal,Professor,,,
jefferso,CC26300,International and Global Studies Program,Current_Internal,Professor,,,
jefferso,CC43100,International Business School,Current_Internal,Professor,,,
jgittell,ND_INST,Brandeis University,Current_Internal,,,,
jgittell,CC40100,Heller School for Social Policy and Management,Current_Internal,Professor,,,
jgittell,CC40100,Heller School for Social Policy and Management,Current_Internal,,,,
jgutsell,CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current_Internal,,,,
jgutsell,CC18700,Department of Psychology,Current_Internal,Associate Professor,,,
jgutsell,CC27200,Neuroscience Program,Current_Internal,,,,
jhale,CC12500,Department of Romance Studies,Current_Internal,Professor Emeritus/a,,,
jianwei,CC12600,"Department of German, Russian, and Asian Languages and Literature",Current_Internal,Lecturer,Lecturer in Chinese,,
jikbal,CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",Current_Internal,Instructor,,,
jjackson,CC27700,Graduate Program in Genetic Counseling,Current_Internal,Lecturer,,,
jjahn,CC11400,Department of Theater Arts,Current_Internal,Lecturer,,,
jjaquette,CC16700,Department of Mathematics,Current_Internal,,,,
jkrasner,CC18200,American Studies Program,Current_Internal,,,,
jkrasner,CC13200,Department of Near Eastern and Judaic Studies,Current_Internal,,,,
jlacreta,CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",Current_Internal,,,,
jlederman,CC12450,University Writing Program,Current_Internal,,,,
jleu,CC43100,International Business School,Current_Internal,,,,
jmarusic,CC12300,Department of Philosophy,Current_Internal,,,,
jmarusic,CC26200,History of Ideas Program,Current_Internal,,,,
jmcginn,CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",Current_Internal,,,,
jmmhug,CC13200,Department of Near Eastern and Judaic Studies,Current_Internal,,,,
jmorris,CC16200,Department of Biology,Current_Internal,,,,
jmorris,CC25000,Education Program,Current_Internal,,,,
jmorris,CC25700,Environmental Studies Program,Current_Internal,,,,
jmorris,CC26100,"Health: Science, Society, and Policy Program",Current_Internal,,,,
jmw,CC18700,Department of Psychology,Current_Internal,Assistant Professor,,,
jnicholson,CC40100,Heller School for Social Policy and Management,Current_Internal,,,,
jockusch,CC18500,Department of History,Current_Internal,Associate Professor,Albert Abramson Associate Professor of Holocaust Studies,,
jockusch,CC13200,Department of Near Eastern and Judaic Studies,Current_Internal,Associate Professor,Albert Abramson Associate Professor of Holocaust Studies,,
joeassan,CC40100,Heller School for Social Policy and Management,Current_Internal,,,,
joel,CC12501,Comparative Literature and Culture Program,Current_Internal,,,,
joel,CC12100,Department of Classical Studies,Current_Internal,,Associate Professor and Chair of Classical Studies,,
joelcg,CC40100,Heller School for Social Policy and Management,Current_Internal,Professor,,,
johnbal,CC43100,International Business School,Current_Internal,,,,
johnston,CC12100,Department of Classical Studies,Current_Internal,Professor Emeritus/a,Professor Emerita of Classical Studies,,
joness,CC40100,Heller School for Social Policy and Management,Current_Internal,Director,"Deputy Director, COEX and SID Programs",,
jordan,CC16500,Department of Chemistry,Current_Internal,Professor Emeritus/a,Professor Emeritus of Chemistry,,
joshuagoodman,CC18400,Department of Economics,Current_Internal,,,,
joshuagoodman,CC43100,International Business School,Current_Internal,Associate Professor,,,
joyner,CC16700,Department of Mathematics,Current_Internal,Instructor,Instructor in Mathematics,,
jpaulsen,CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",Current_Internal,,,,
jpipkin,CC16200,Department of Biology,Current_Internal,,,,
jpl,CC18400,Department of Economics,Current_Internal,,,,
jpl,CC43100,International Business School,Current_Internal,,,,
jpowers,CC18200,American Studies Program,Current_Internal,,,,
jreinhar,CC18500,Department of History,Current_Internal,,,,
jreinhar,CC13200,Department of Near Eastern and Judaic Studies,Current_Internal,,,,
jrudin,CC40100,Heller School for Social Policy and Management,Current_Internal,Adjunct Lecturer,,,
jrutenbeck,CC27900,"Creativity, the Arts, and Social Transformation Program",Current_Internal,Lecturer,,,
jsantos,CC40100,Heller School for Social Policy and Management,Current_Internal,Lecturer,,,
jschlesinger,CC10500,School of Arts and Sciences,Current_Internal,Lecturer,,,
jsimon13,CC18700,Department of Psychology,Current_Internal,Lecturer,,,
jssuh,CC18100,Department of African and African American Studies,Current_Internal,Assistant Professor,,,
jssuh,CC18800,Department of Sociology,Current_Internal,Assistant Professor,,,
jssuh,CC24700,"Department of Womens, Gender and Sexuality Studies",Current_Internal,Assistant Professor,,,
jstinchcomb,CC12100,Department of Classical Studies,Current_Internal,,,,
jstinchcomb,CC13200,Department of Near Eastern and Judaic Studies,Current_Internal,,,,
jsuaya,CC40100,Heller School for Social Policy and Management,Current_Internal,Adjunct Lecturer,,,
jtharaud,CC18200,American Studies Program,Current_Internal,Assistant Professor,,,
jtharaud,CC12400,Department of English,Current_Internal,Assistant Professor,,,
jtharaud,CC25700,Environmental Studies Program,Current_Internal,Assistant Professor,,,
jtouboul,CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current_Internal,Associate Professor,,,
jtouboul,CC16700,Department of Mathematics,Current_Internal,Associate Professor,,,
jtouboul,CC27200,Neuroscience Program,Current_Internal,Associate Professor,,,
juboswell,CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",Current_Internal,,,,
judydean,CC18400,Department of Economics,Current_Internal,,,,
judydean,CC43100,International Business School,Current_Internal,,,,
juliasmeliansky,CC11400,Department of Theater Arts,Current_Internal,,,,
juliehorwitz,CC25000,Education Program,Current_Internal,Adjunct Professor,,,
juliemiller,CC43100,International Business School,Current_Internal,,,,
kam1483,CC30800,Myra Kraft Transitional Year Program,Current_Internal,Instructor,,,
kammerer,CC18300,Department of Anthropology,Current_Internal,,,,
kammerer,CC40100,Heller School for Social Policy and Management,Current_Internal,,,,
kaniasty,CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",Current_Internal,,,,
kanthan,CC25700,Environmental Studies Program,Current_Internal,,,,
kanthan,CC40100,Heller School for Social Policy and Management,Current_Internal,,,,
kardon,CC16100,Department of Biochemistry,Current_Internal,Assistant Professor,Assistant Professor of Biochemistry,,
katsh,CC25000,Education Program,Current_Internal,Lecturer,Lecturer in Education,,
kchayes,ND_INST,Brandeis University,Current_Internal,Director,,,
kchayes,CC16200,Department of Biology,Current_Internal,Professor Emeritus/a,,,
kdesmond,CC11200,Department of Music,Current_Internal,,,,
kdesmond,CC27100,Medieval and Renaissance Studies Program,Current_Internal,,,,
keehn,CC16500,Department of Chemistry,Current_Internal,Professor Emeritus/a,Professor Emeritus of Chemistry,,
keiler,CC11200,Department of Music,Current_Internal,Professor Emeritus/a,Professor Emeritus of Music,,
kelikian,CC18500,Department of History,Current_Internal,Associate Professor,Associate Professor of History,,
kelikian,CC25900,"Film, Television and Interactive Media Program",Current_Internal,,,,
kelikian,CC26600,Interdepartmental Program in Italian Studies,Current_Internal,,,,
kellman,CC13200,Department of Near Eastern and Judaic Studies,Current_Internal,Associate Professor,Associate Professor of Yiddish,,
kerenm,CC18200,American Studies Program,Current_Internal,,,,
kestrada,CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",Current_Internal,,,,
kgraddy,CC18400,Department of Economics,Current_Internal,,,,
kgraddy,CC43100,International Business School,Current_Internal,Professor,"Dean of the International Business School, and Fred and Rita Richman Distinguished Professor in Economics",,
khadijakhartit,CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",Current_Internal,,,,
khansen,CC18500,Department of History,Current_Internal,,,,
khansen,CC18800,Department of Sociology,Current_Internal,Professor,,,
khansen,CC24700,"Department of Womens, Gender and Sexuality Studies",Current_Internal,Professor,,,
khashaba,CC13200,Department of Near Eastern and Judaic Studies,Current_Internal,,,,
kimelman,CC13200,Department of Near Eastern and Judaic Studies,Current_Internal,,,,
kimelman,CC12102,Master of Arts Program in Comparative Humanities,Current_Internal,,,,
kirklipscomb,CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",Current_Internal,,,,
kirsch,CC16800,Martin A. Fisher School of Physics,Current_Internal,Professor Emeritus/a,Professor Emeritus of Physics,,
kkivl0001,CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",Current_Internal,,,,
kklein,CC12400,Department of English,Current_Internal,,,,
klausen,CC18600,Department of Politics,Current_Internal,Professor,Lawrence A. Wien Professor of International Cooperation,,
klausen,CC25800,Interdepartmental Program in European Cultural Studies,Current_Internal,,,,
kleinboc,CC16700,Department of Mathematics,Current_Internal,,,,
klobo,CC25000,Education Program,Current_Internal,,,,
klsmith,CC43100,International Business School,Current_Internal,Adjunct Professor,,,
klucken,CC18800,Department of Sociology,Current_Internal,,,,
klucken,CC26300,International and Global Studies Program,Current_Internal,,,,
klucken,CC27400,Religious Studies Program,Current_Internal,,,,
kmascall,CC16500,Department of Chemistry,Current_Internal,,,,
kmcqueen,CC43100,International Business School,Current_Internal,,,,
kmoran,CC12300,Department of Philosophy,Current_Internal,,,,
knight2,CC18700,Department of Psychology,Current_Internal,,,,
kondev,CC16800,Martin A. Fisher School of Physics,Current_Internal,Professor,"William R. Kenan, Jr. Professor of Physics",,
kosinski,CC16200,Department of Biology,Current_Internal,Professor,Professor of Biology,,
kpiasta,CC16200,Department of Biology,Current_Internal,,,,
kplaster,CC26900,Linguistics and Computational Linguistics,Current_Internal,,,,
krauss,CC40100,Heller School for Social Policy and Management,Current_Internal,Professor Emeritus/a,John Stein Professor of Disability Research,,
kraussi,CC16500,Department of Chemistry,Current_Internal,Professor,Professor of Chemistry,,
krishnag,CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",Current_Internal,,,,
krnerp,CC25000,Education Program,Current_Internal,,,,
krothstein,CC26700,Journalism Program,Current_Internal,Lecturer,,,
kround,CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",Current_Internal,Instructor,,,
krstansk,CC11400,Department of Theater Arts,Current_Internal,,,,
krstansk,CC24700,"Department of Womens, Gender and Sexuality Studies",Current_Internal,,,,
krstansk,CC25900,"Film, Television and Interactive Media Program",Current_Internal,,,,
kryder,CC18100,Department of African and African American Studies,Current_Internal,,,,
kryder,CC18500,Department of History,Current_Internal,,,,
kryder,CC18600,Department of Politics,Current_Internal,,Louis Stulberg Chair in Law and Politics,,
kschumacher,CC40100,Heller School for Social Policy and Management,Current_Internal,,,,
kschumacher,CC13100,Hornstein Jewish Professional Leadership Program,Current_Internal,Lecturer,,,
kseidlgo,CC12600,"Department of German, Russian, and Asian Languages and Literature",Current_Internal,Associate Professor,,,
kturpin,CC12500,Department of Romance Studies,Current_Internal,Lecturer,,,
kustin,CC16500,Department of Chemistry,Current_Internal,,,,
lachman,CC18700,Department of Psychology,Current_Internal,Professor,Minnie and Harold Fierman Professor of Psychology,,
lachman,CC40100,Heller School for Social Policy and Management,Current_Internal,,,,
lackner,CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current_Internal,,,,
lackner,CC18700,Department of Psychology,Current_Internal,Professor,Meshulam and Judith Riklis Professor of Physiology,,
lackner,CC27200,Neuroscience Program,Current_Internal,,,,
lamb,CC18300,Department of Anthropology,Current_Internal,Professor,"Professor of Anthropology, Womens, Gender, and Sexuality Studies",,
lamb,CC24700,"Department of Womens, Gender and Sexuality Studies",Current_Internal,,,,
lamb,CC26100,"Health: Science, Society, and Policy Program",Current_Internal,Professor,Barbara Mandel Professor of the Humanistic Social Sciences,,
lamb,CC40100,Heller School for Social Policy and Management,Current_Internal,,"Member, Brandeiss Lifespan Initiative on Healthy Aging",,
lamb,CC27400,Religious Studies Program,Current_Internal,,,,
lamb,CC18320,South Asian Studies Program,Current_Internal,,,,
lamiller,CC18800,Department of Sociology,Current_Internal,,,,
lampham,CC16700,Department of Mathematics,Current_Internal,,,,
lange,CC16800,Martin A. Fisher School of Physics,Current_Internal,,,,
lanser,CC12400,Department of English,Current_Internal,,,,
lanser,CC24700,"Department of Womens, Gender and Sexuality Studies",Current_Internal,,,,
lansing,CC12500,Department of Romance Studies,Current_Internal,,,,
larson,CC40100,Heller School for Social Policy and Management,Current_Internal,Senior Scientist,Senior Scientist and Lecturer,,
laurenwoods,CC11100,Department of Fine Arts,Current_Internal,Assistant Professor,,,
laurlic,CC27700,Graduate Program in Genetic Counseling,Current_Internal,,,,
lbate0001,CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",Current_Internal,,,,
